Year,Name,Mintmark,Mintage
2014,20 Years in the Council of Europe,,
2015,30 Years of Political Rights,,
2015,25th Anniversary of the Customs Agreement,,
2016,25th Anniversary of the Radio and Television of Andorra,,
2016,150th Anniversary of the New Reform of 1866,,
2017,100th Anniversary of the National Anthem of Andorra,,
2017,The Pyrenean Country,,
2018,70th Anniversary of the Universal Declaration of Human Rights,,
2018,25th Anniversary of the Andorran Constitution,,
2019,600th Anniversary of the Council of the Land,,
2019,2019 Alpine Ski World Cup Finals,,
2020,50 Years of Universal Female Suffrage,,
2020,The 27th Ibero-American Summit,,
2021,Taking Care of Our Seniors,,
2021,Our Lady of Meritxell,,
2022,The Legend of Charlemagne,,
2022,10th Anniversary of the Monetary Agreement with the EU,,
2023,Summer Solstice Fire Festivals in the Pyrenees,,
2023,30 Years of United Nations Membership,,
# TODO: Find the official name of this coin
2024,100 Years of Skiing in Andorra,,
# TODO: Find the official name of this coin
2024,UCI Mountain Bike World Cup,,
# TODO: Find the official name of this coin
2025,Bearded Vulture,,
# TODO: Find the official name of this coin
2025,Games of the Small States of Europe,,