Year,Mintmark,"€0,01","€0,02","€0,05","€0,10","€0,20","€0,50","€1,00","€2,00",Reference
2014,,60000,60000,860000,860000,860000,340000,511843,360000,
2015,,0,0,0,0,0,0,0,1072400,
2016,,0,0,0,0,0,0,2339200,0,
2017,,2582395,1515000,2191421,1103000,1213000,968800,17000,794588,
2018,,2430000,2550000,1800000,980000,1014000,890000,0,868000,
2019,,2447000,1727000,2100000,1610000,1570000,930000,0,1058310,
2020,,0,0,0,860000,175000,740000,0,1500000,
2021,,200000,700000,0,1400000,1420000,600000,50000,1474500,
2022,,700000,450000,400000,700000,700000,380000,0,1708000,
2023,,0,0,0,0,0,0,0,2075250,
2024,,0,900300,1950000,1000000,700000,500000,1050000,1601200,
2025,,,,,,,,,,